Label,Type,CLO_C,CLO_M,CL_C,CL_M,UBERON_C,UBERON_M,BTO_C,BTO_M
Ovarian Cancer Cell,CT,human ovarian cancer cell line cell,-,ovarian surface epithelial cell,ovarian surface epithelial cell,ovary,ovary,ovary cancer cell,ovary cancer cell
keratinocytes,CT,-,-,keratinocyte,keratinocyte,skin epidermis,skin epidermis,keratinocyte,keratinocyte
SCC,CT,-,-,squamous epithelial cell,squamous epithelial cell,squamous epithelium,squamous epithelium,squamous cell carcinoma cell line,squamous cell carcinoma cell line
SARC,CT,-,-,connective tissue cell,malignant cell,connective tissue,connective tissue,sarcoma cell,sarcoma cell
NHA,CT,-,-,astrocyte,astrocyte,central nervous system,cerebral cortex,astrocyte,astrocyte
Macrophages_G,CT,-,-,macrophage,macrophage,blood,-,macrophage,macrophage
fibroblast,CT,-,-,fibroblast,fibroblast,connective tissue,connective tissue,fibroblast,fibroblast
HGEP,CT,-,-,progenitor cell,gingival epithelial cell,gingival epithelium,gingival epithelium,oral epithelial cell,oral epithelial cell
breast_tumor_GOODOUTCOME,CT,-,-,-,luminal epithelial cell of mammary gland,breast,mammary gland,breast cancer cell,breast cancer cell
podocyte_CTL,CT,-,-,podocyte,podocyte,kidney,renal glomerulus,podocyte,podocyte
AT1_B,CT,-,-,pulmonary alveolar type 1 cell,pulmonary alveolar type 1 cell,alveolus of lung,alveolus of lung,alveolar cell type I,alveolar cell type I
Astro_cerebrum,CT,-,-,astrocyte,astrocyte,brain,obsolete cerebrum,astrocyte,astrocyte
macrophages_IFNG,CT,-,-,macrophage,macrophage,blood,-,macrophage,M1 macrophage
CluB_A,CT,-,-,club cell,B-1 B cell,lung,-,-,-
Smooth Muscle Cells - Prostate donor1,CT,-,-,smooth muscle cell of prostate,smooth muscle cell of prostate,prostate gland smooth muscle,prostate gland smooth muscle,prostate gland smooth muscle,prostate gland smooth muscle
MM087_Primary_Melanoma,CT,-,-,melanocyte,melanocyte,skin epidermis,skin epidermis,melanoma cell,melanoma cell
immature langerhans cells donor2,CT,-,-,Langerhans cell,Langerhans cell,immune system,skin epidermis,Langerhans cell,immature cell
Tracheal Epithelial Cells donor1,CT,-,-,tracheal epithelial cell,tracheal epithelial cell,trachea,trachea,trachea,trachea
AT1_G,CT,-,-,pulmonary alveolar type 1 cell,pulmonary alveolar type 1 cell,alveolus of lung,alveolus of lung,alveolar cell type I,alveolar cell type I
MDM,CT,-,-,macrophage,macrophage,blood,blood,macrophage,macrophage
Acute Myeloid Leukemia Cell,CT,-,-,myeloid cell,myeloid cell,blood,bone marrow,acute myeloid leukemia cell,acute myeloid leukemia cell
peripheral_blood_mononuclear_cells,CT,-,-,peripheral blood mononuclear cell,peripheral blood mononuclear cell,blood,blood,peripheral blood mononuclear cell,peripheral blood mononuclear cell
Primary monocytes from?peripheral?blood,CT,-,-,monocyte,monocyte,blood,blood,monocyte,monocyte
CD8_T_cells,CT,-,-,"CD8-positive, alpha-beta T cell","CD8-positive, alpha-beta T cell",immune system,T cell domain,cytotoxic T-lymphocyte,cytotoxic T-lymphocyte
MPAL2_T1_4,CT,-,-,hematopoietic cell,myeloid lineage restricted progenitor cell,blood,bone marrow,myeloid leukemia cell,myeloid leukemia cell
HDFhuman_dermal_fibroblasts,CT,-,-,skin fibroblast,skin fibroblast,dermis,dermis,dermal fibroblast,dermal fibroblast
HEE_human_epididymis_epithelial_cells,CT,-,-,epithelial cell,epithelial cell,epididymis epithelium,epididymis epithelium,epithelial cell,epithelial cell
BI_CD4p_CD225int_CD127p_Tmem,CT,-,-,memory T cell,"CD4-positive, alpha-beta memory T cell, CD45RO-positive",immune system,-,memory T-lymphocyte,memory T-lymphocyte
CD8_Effector,CT,-,-,"effector CD8-positive, alpha-beta T cell","effector CD8-positive, alpha-beta T cell",immune system,-,-,culture condition:CD8+ cell
Primary T helper naive cells from?peripheral?blood,CT,-,-,naive T cell,naive T cell,blood,blood,naive T-lymphocyte,culture condition:CD4+ cell
Megakaryocyte,CT,-,-,megakaryocyte,megakaryocyte,bone marrow,hematopoietic tissue,megakaryocyte,megakaryocyte
foreskin keratinocyte_2,CT,-,-,foreskin keratinocyte,foreskin keratinocyte,prepuce of penis,prepuce of penis,foreskin keratinocyte cell line,foreskin keratinocyte cell line
Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells,CT,-,-,mesenchymal stem cell,mesenchymal stem cell,mesenchyme,adipose tissue,adipose-derived stem cell,adipose-derived stem cell
Cardiomyo_6,CT,-,-,cardiocyte,cardiocyte,heart,myocardium,cardiomyocyte cell line,cardiomyocyte cell line
normal_lung_fibroblasts,CT,-,-,fibroblast of lung,fibroblast of lung,lung,lung,lung fibroblast,lung fibroblast
CD14+CD16+ Monocytes donor3,CT,-,-,"CD14-positive, CD16-positive monocyte","CD14-positive, CD16-positive monocyte",blood,blood,monocyte,monocyte
Olfactory epithelial cells donor2,CT,-,-,olfactory epithelial cell,olfactory epithelial cell,olfactory organ,olfactory organ,olfactory epithelium,olfactory epithelium
CD14+ monocytes - treated with Trehalose dimycolate (TDM) donor2,CT,-,-,CD14-positive monocyte,CD14-positive monocyte,blood,blood,monocyte,monocyte
leukemia,CT,-,-,hematopoietic cell,malignant cell,blood,bone marrow,leukemia cell,leukemia cell
CD4 Naive Primary 8pool,CT,-,-,"naive thymus-derived CD4-positive, alpha-beta T cell","naive thymus-derived CD4-positive, alpha-beta T cell",thymus,venous blood,naive T-lymphocyte,naive T-lymphocyte
Human Primordial Germ Cell,CT,-,-,primordial germ cell,primordial germ cell,gonad,gonad,germ cell,germ cell
primary_erythroblasts,CT,-,-,erythroblast,erythroblast,bone marrow,hematopoietic tissue,erythroblast,erythroblast
lung_fibroblasts,CT,-,-,fibroblast of lung,fibroblast of lung,lung,lung,lung fibroblast,lung fibroblast
ES derived mesoderm_day2,CT,-,-,mesodermal cell,mesodermal cell,mesoderm,lateral mesenchyme derived from mesoderm,-,mesenchymal stem cell
CHLA-25,CT,-,-,bone cell,-,bone tissue,-,-,-
Smooth Muscle Cells - Brachiocephalic donor3,CT,-,-,smooth muscle cell of the brachiocephalic vasculature,smooth muscle cell of the brachiocephalic vasculature,brachiocephalic muscle,brachiocephalic muscle,vascular smooth muscle cell,vascular smooth muscle cell
Primary T helper 17 cells PMA-I stimulated,CT,-,-,T-helper 17 cell,T-helper 17 cell,immune system,lymph node T cell domain,Th17 cell,Th17 cell
melanocytes_BRAFV600E,CT,-,-,melanocyte,melanocyte,skin epidermis,skin epidermis,melanocyte,melanocyte
Pericytes_C,CT,-,-,pericyte,pericyte,connective tissue,microcirculatory vessel,pericyte,pericyte
Foreskin keratinocyte,CT,-,-,foreskin keratinocyte,foreskin keratinocyte,prepuce of penis,prepuce of penis,foreskin keratinocyte cell line,foreskin keratinocyte cell line
CD14+ monocytes - mock treated donor3,CT,-,-,CD14-positive monocyte,CD14-positive monocyte,blood,blood,monocyte,monocyte
Smooth Muscle Cells - Brain Vascular donor1,CT,-,-,smooth muscle cell of the brain vasculature,smooth muscle cell of the brain vasculature,vasculature of brain,cerebral blood vessel,vascular smooth muscle cell,vascular smooth muscle cell
Muscle_Satellite_Cultured_Cells,CT,-,-,skeletal muscle satellite cell,skeletal muscle satellite cell,skeletal muscle tissue,skeletal muscle tissue,skeletal muscle satellite cell,skeletal muscle satellite cell
eosinophil (VB),CT,-,-,eosinophil,eosinophil,blood,bone marrow,eosinophil,eosinophil
CD4_TH1,CT,-,-,T-helper 1 cell,T-helper 1 cell,immune system,-,Th1 cell,Th1 cell
Matrix_Fibrob_1_C,CT,-,-,fibroblast,fibroblast,connective tissue,connective tissue,fibroblast,fibroblast
leukophereses_p411,CT,-,-,leukocyte,peripheral blood mononuclear cell,blood,blood,leukocyte,peripheral blood mononuclear cell
CD34_Progenitors_R2,CT,-,-,erythroid progenitor cell,"CD34-positive, CD38-negative hematopoietic stem cell",bone marrow,-,erythroid progenitor cell,culture condition:CD34+ cell
T_cell_B,CT,-,-,T cell,T cell,blood,T cell domain,T-lymphocyte,T1 cell
primary-epidermal-keratinocyte,CT,-,-,keratinocyte,-,skin epidermis,skin epidermis,keratinocyte,keratinocyte
ES-derived progenitors Pancreatic Progenitors 1 WT,CT,-,-,progenitor cell of endocrine pancreas,progenitor cell of endocrine pancreas,pancreas,pancreas,-,pancreatic PP cell
Astrocyte - cerebral cortex donor3,CT,-,-,astrocyte of the cerebral cortex,astrocyte of the cerebral cortex,cerebral cortex,cerebral cortex,astrocyte,astrocyte
Fibroblast - skin dystrophia myotonica donor2,CT,-,-,skin fibroblast,skin fibroblast,skin epidermis,skin epidermis,skin fibroblast,skin fibroblast
hNSC,CT,-,-,neural stem cell,neural stem cell,nervous system,nervous system,neural stem cell,neural stem cell
Osteobl,CT,-,-,osteoblast,osteoblast,bone tissue,bone tissue,osteoblast,osteoblast
CLP_1_healthy,CT,-,-,common lymphoid progenitor,common lymphoid progenitor,bone marrow,hematopoietic tissue,lymphoid progenitor cell,lymphoid progenitor cell
mesenchymal precursor cell - cardiac donor4,CT,-,-,mesenchymal stem cell,mesenchymal stem cell,heart,cardiac muscle tissue,mesenchymal stem cell,mesenchymal stem cell
Syn_vil_cytoTrophobs_5,CT,-,-,stem cell,placental villous trophoblast,placenta,placenta,villous syncytiotrophoblast,villous syncytiotrophoblast
ccRCC,CT,-,-,kidney cell,kidney proximal convoluted tubule epithelial cell,kidney,proximal tubular epithelium,clear cell adenocarcinoma cell,renal proximal tubule cell
NHEK_M,CT,-,-,keratinocyte,keratinocyte,skin epidermis,skin epidermis,NHEK cell,foreskin keratinocyte cell line
neuroepithelial_stem_cell,CT,-,-,neuroepithelial stem cell,neuroepithelial stem cell,nervous system,developing neuroepithelium,neuroepithelial cell,neural stem cell
Synoviocyte donor3,CT,-,-,synovial cell,type A synovial cell,synovial bursa,synovial bursa,synoviocyte,fibroblast-like synoviocyte
PAAD,CT,-,-,pancreatic ductal cell,pancreatic ductal cell,pancreatic duct,pancreatic duct,pancreatic ductal adenocarcinoma cell,pancreatic ductal adenocarcinoma cell
MPP_frozen_BM0828,CT,-,-,hematopoietic multipotent progenitor cell,hematopoietic multipotent progenitor cell,bone marrow,bone marrow,myeloid progenitor cell,myeloid progenitor cell
Ciliated_cells_B,CT,-,-,ciliated cell,ciliated epithelial cell,lung,ciliary epithelium,epithelial cell,epithelial cell
epidermal_keratinocytes,CT,-,-,keratinocyte,-,skin epidermis,skin epidermis,keratinocyte,keratinocyte
Mesenchymal Stem Cell Derived Chondrocyte Cultured Cells,CT,-,-,chondrocyte,chondrocyte,cartilage tissue,cartilage tissue,chondrocyte,chondrocyte cell line
CD14+ monocytes - treated with B-glucan donor1,CT,-,-,CD14-positive monocyte,CD14-positive monocyte,blood,blood,monocyte,monocyte
CD4+_CD25-_Th_Primary_Cells,CT,-,-,CD4-positive helper T cell,CD4-positive helper T cell,immune system,venous blood,Th1 cell,culture condition:CD4+ cell
fibroblast_384,CT,-,-,fibroblast,fibroblast,connective tissue,-,fibroblast,fibroblast
meningioma_4,CT,-,-,arachnoid barrier cell,meningothelial cell,forebrain meninges,forebrain meninges,meningioma cell,meningioma cell
HAEC,CT,-,-,aortic endothelial cell,aortic endothelial cell,aorta endothelium,aorta endothelium,human aortic endothelial cell,human aortic endothelial cell
FL CD34+CD38-/lowCD90+ HSPC,CT,-,-,hematopoietic multipotent progenitor cell,"CD34-positive, CD38-negative hematopoietic stem cell",bone marrow,liver,hematopoietic stem cell,hematopoietic stem cell
Adipose_Nuclei,CT,-,-,adipocyte,white adipocyte,adipose tissue,adipose tissue,adipocyte,adipocyte
Treg2_t-infiltrating,CT,-,-,regulatory T cell,"CD4-positive, CD25-positive, CCR4-positive, alpha-beta regulatory T cell",immune system,tissue,regulatory T-lymphocyte,T2 cell
icn12,CT,-,-,precursor B cell,CD115-positive monocyte OR common dendritic progenitor,bone marrow,-,-,SN-12C cell
HPV+ HNSCC_SCC-090,CT,-,-,squamous epithelial cell,squamous epithelial cell,head or neck skin,pharyngeal tonsil,squamous cell carcinoma cell line,squamous cell carcinoma cell line
RPE1-interphase,CT,-,-,retinal pigment epithelial cell,retinal pigment epithelial cell,retina,retina,retinal pigment epithelium cell,retinal pigment epithelium cell line
Club_D,CT,-,-,club cell,club cell,lung,terminal bronchiole epithelium,Clara cell,Clara cell
CD14+ monocytes - treated with Candida donor2,CT,-,-,CD14-positive monocyte,CD14-positive monocyte,blood,blood,monocyte,monocyte
Dendritic Cells - monocyte immature derived donor1 tech_rep2,CT,-,-,dendritic cell,dendritic cell,immune system,venous blood,dendritic cell,dendritic cell
GBM22,CT,GBM cell,-,glial cell,glioblast,brain,central nervous system,glioblastoma cell,glioblastoma cell
tamoxifen_EC1,CT,-,-,epithelial cell of uterus,epithelial cell of uterus,endometrium,endothelium,endothelial cell,endothelial cell
Ciliated_cells_A,CT,-,-,ciliated cell,multiciliated epithelial cell,lung,tracheobronchial epithelium,nonpigmented ciliary epithelial cell,nonpigmented ciliary epithelial cell
chorionic membrane cells donor3,CT,-,-,-,chorionic trophoblast cell,chorion membrane,chorion membrane,chorionic epithelium,chorionic epithelium
H9-derived_neuroectoderm_cells,CT,-,-,neural cell,neural cell,-,-,-,-
T_cell_D,CT,-,-,T cell,lymphocyte,blood,T cell domain,T-lymphocyte,T-lymphocyte
HUES64 derived CD56+ mesoderm,CT,-,-,mesodermal cell,mesodermal cell,mesoderm,germ layer,-,culture condition:CD56+ cell
MPAL4_T1_3,CT,-,-,hematopoietic cell,-,blood,bone marrow,myeloid leukemia cell,myeloid leukemia cell
CD4_M_1_healthy,CT,-,-,CD4-positive helper T cell,CD4-positive helper T cell,immune system,venous blood,Th1 cell,helper T-lymphocyte
mesenchymal-stem-cell,CT,-,-,mesenchymal stem cell,mesenchymal stem cell,mesenchyme,mesenchyme of umbilical cord,mesenchymal stem cell,mesenchymal stem cell
ES-derived progenitors_DE FOXA2 -/-,CT,-,-,progenitor cell,endodermal cell,-,definitive endoderm,-,endoderm
Mast cell donor2,CT,-,-,mast cell,mast cell,immune system,-,mast cell,mast cell
Adipocyte - perirenal donor1,CT,-,-,perirenal adipocyte,white adipocyte,perirenal fat,adipose tissue of abdominal region,-,white adipocyte
B (PB),CT,-,-,B cell,lymphocyte of B lineage,blood,blood,B-lymphocyte,B-lymphocyte
Primary natural killer cells (from PB),CT,-,-,natural killer cell,natural killer cell,blood,blood,natural killer cell,natural killer cell
CD4+ cells_CTCL1181,CT,-,-,CD4-positive helper T cell,CD4-positive helper T cell,immune system,skin of body,helper T-lymphocyte,helper T-lymphocyte
ES derived primitive cardiomyocite_day15,CT,-,-,cardiac muscle myoblast,cardiac muscle myoblast,heart,cardiac muscle tissue,cardiomyocyte cell line,cardiomyocyte cell line
CD8-positive-alpha-beta-T-cell,CT,-,-,"CD8-positive, alpha-beta T cell","CD8-positive, alpha-beta T cell",immune system,T cell domain,cytotoxic T-lymphocyte,cytotoxic T-lymphocyte
Vascular_endothelial_heart,CT,-,-,cardiac endothelial cell,cardiac endothelial cell,heart,heart,-,cardiac microvascular endothelial cell
HUAEC_WT,CT,-,-,umbilical artery endothelial cell,umbilical artery endothelial cell,umbilical artery endothelium,umbilical artery endothelium,umbilical artery endothelial cell,umbilical artery endothelial cell
Astro_Oligodendro_cerebrum_4,CT,-,-,glial cell,astrocyte,brain,-,-,neuron-oligodendrocyte coculture
tamoxifen_EC7,CT,-,-,epithelial cell of uterus,epithelial cell of uterus,endometrium,blood vessel endothelium,endothelial cell,endothelial cell
meningioma_6,CT,-,-,arachnoid barrier cell,meningothelial cell,forebrain meninges,arachnoid mater,meningioma cell,meningioma cell
Skin Fibroblast_Nutlin3A,CT,-,-,skin fibroblast,skin fibroblast,dermis,dermis,skin fibroblast,skin fibroblast
naive B (VB),CT,-,-,naive B cell,naive B cell,blood,blood,B-lymphocyte,B-lymphocyte
AML11,CT,-,-,myeloid cell,myeloid cell,blood,bone marrow,myeloblast,myeloblast
normal_epidermal_keratinocytes,CT,-,-,keratinocyte,keratinocyte,skin epidermis,skin epidermis,keratinocyte,keratinocyte
Endothelial Cells - Vein donor1,CT,-,-,vein endothelial cell,endothelial cell of venule,vein,venous blood vessel,venous endothelial cell,venous endothelial cell
HSPC-derived late erythroid precursors,CT,-,-,erythroid progenitor cell,erythroid progenitor cell,bone marrow,hematopoietic tissue,erythroid progenitor cell,erythroid progenitor cell
LSEC,CT,-,-,endothelial cell of hepatic sinusoid,endothelial cell of hepatic sinusoid,liver,hepatic sinusoid,liver sinusoidal endothelial cell,liver sinusoidal endothelial cell
melanoma,CT,-,-,melanocyte,melanocyte,skin epidermis,skin epidermis,melanoma cell,melanoma cell
CD4p CD25- CD45RAp Naive,CT,-,-,naive T cell,CD4-positive helper T cell,thymus,-,-,-
Trabecular Meshwork Cells donor1,CT,-,-,trabecular meshwork cell,trabecular meshwork cell,eye trabecular meshwork,eye trabecular meshwork,-,-
PDAC_SHCTR,CT,-,-,epithelial cell of pancreas,epithelial cell of pancreas,pancreas,pancreas,pancreatic ductal adenocarcinoma cell,pancreatic ductal adenocarcinoma cell line
primary-B-cell,CT,-,-,B cell,lymphocyte of B lineage,blood,spleen primary B follicle,B-lymphocyte,B-lymphocyte
Olfactory epithelial cells donor1,CT,-,-,olfactory epithelial cell,olfactory epithelial cell,olfactory organ,olfactory organ,-,olfactory ensheathing cell
hMSCs,CT,-,-,mesenchymal stem cell,mesenchymal stem cell,bone marrow,mesenchyme of umbilical cord,mesenchymal stem cell,mesenchymal stem cell
Inhibitory_neur_cerebrum_2,CT,-,-,neuron,GABAergic interneuron,brain,obsolete cerebrum,-,-
Th17-cells,CT,-,-,T-helper 17 cell,T-helper 17 cell,immune system,mucosa-associated lymphoid tissue,Th17 cell,Th17 cell
PRAD,CT,-,-,epithelial cell of prostate,epithelial cell of prostate,prostate gland,prostate gland,prostate adenocarcinoma cell,prostate adenocarcinoma cell
